track_name,artist_name,artist_id,track_id,popularity,duration_ms,duration_min,time_range,album,release_date,explicit
Truffle Butter,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,3keUgTGEoZJt0QkzTB6kHg,56,219226,3.65,All time,Truffle Butter,2015-01-23,True
Take Me To The River,Kelvin Momo,4VlxI0WKDh7HFgHjXcfj6v,2SRFbIZWNY8aTaXS9iocYw,46,450879,7.51,All time,Thato Ya Modimo,2025-05-30,False
Thinking About You (feat. Ayah Marar),Calvin Harris,7CajNmpbOovFoOoasH2HaY,1KtD0xaLAikgIt5tPbteZQ,68,247933,4.13,All time,18 Months,2012-10-29,False
Make Me Feel Better - Don Diablo & Cid Radio Edit,Alex Adair,1mrrvBvbrm28iYaPlJ9mG5,0rDzOAPrrpPPNBFdQXdpBb,3,202460,3.37,All time,Make Me Feel Better (Remixes),2015-03-01,False
Easy Lover,Philip Bailey,6ZNeppgfBLPUyugks9Yn1u,7INi4pMPG4IE0Smx5y4KVf,68,304506,5.08,All time,Chinese Wall,1985-03-20,False
Addiction,Stephan Jolk,7w0ddx9rFndvpiqO1VOxJM,0bZuey97qh7rJ0MsQRO9vb,28,214000,3.57,All time,Addiction,2024-04-12,False
"Baby, Come To Me",Patti Austin,0JxChc2w5fwTGbXKfc4cRd,65bvH7egzl7h9f7uJmqGV4,62,215386,3.59,All time,Every Home Should Have One,1981-12-15,False
If You Were Here Tonight,Alexander O'Neal,047D9GgqEzyMoULd2oKr7G,1zl5xOvzInBy7esv1UAnrc,54,370733,6.18,All time,Alexander O'Neal,1985-01-01,False
"Outstanding - Original 12"" Mix",The Gap Band,4TwHRCIu3Xg9fjS3l7owkp,6korvxtUEyt590jUFOfADm,60,375400,6.26,All time,"The 12"" Collection And More (Funk Essentials)",1999-03-05,False
Santorini Coffee,melvitto,4Xj0nxVO4r7PLEaw7LRiBa,6TTR7tXftck5lU7BPRY7bV,61,134365,2.24,All time,THENIGHTISYOUNG.,2019-02-22,False
A Night to Remember,Shalamar,3REpOYo13YkVj1dFzda12A,2xsXNMfcKLQxL5sQq4v7gH,46,299360,4.99,All time,The 12 Inch Collection,1993-01-01,False
Innocent Man,Mark Morrison,6V3F8MZrOKdT9fU686ybE9,7FeKmgvAj6ip5hCXhwSNXi,52,204225,3.4,All time,Innocent Man (Deluxe Edition),2022-08-05,True
Cool Bananas,Tell,2GTGi2RC8sajDRwBXKpWYg,7FheJOrB8J0eyK0ebcBAlI,49,284579,4.74,All time,Cool Bananas,2018-06-01,False
Float On - Single Version,The Floaters,6GpuL6WNTOVhmMl6lZbiKS,4kxDa9niTJIyh89afKjpCR,55,255173,4.25,All time,"The ABC's Of Soul, Vol. 3 (Classics From The ABC Records Catalog 1975-1979)",1996-09-09,False
Waiting For You (feat. Naomi Sharon),Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,6ARYP4KyGydosXyxtzlDdc,54,219998,3.67,All time,Good People,2023-11-03,False
Ma Cherie,Bien,2zhossaaVN2pXg5p8o101X,3PemVHtCIb5abITSvos4Bq,35,172941,2.88,All time,Ma Cherie,2023-10-26,False
Ya Know,Mat.Joe,38jpuy3yt3QIxQ8Fn1HTeJ,5EYlU3M7d53aDLzxJCIUqu,36,332903,5.55,All time,Ya Know,2019-05-24,False
